date,item,sku,units_sold,revenue,expenses,inventory_on_hand,category
2026-02-01,Vanilla Latte,VL-100,28,210,92,140,Beverages
2026-02-01,Chocolate Muffin,CM-210,16,96,38,70,Bakery
2026-02-01,Turkey Sandwich,TS-310,14,168,72,55,Food
2026-02-02,Vanilla Latte,VL-100,30,225,98,128,Beverages
2026-02-02,Chocolate Muffin,CM-210,18,108,42,62,Bakery
2026-02-02,Turkey Sandwich,TS-310,12,144,64,48,Food
2026-02-03,Vanilla Latte,VL-100,34,255,110,118,Beverages
2026-02-03,Chocolate Muffin,CM-210,20,120,48,56,Bakery
2026-02-03,Turkey Sandwich,TS-310,15,180,78,42,Food
2026-02-04,Vanilla Latte,VL-100,36,270,116,104,Beverages
2026-02-04,Chocolate Muffin,CM-210,17,102,40,50,Bakery
2026-02-04,Turkey Sandwich,TS-310,11,132,60,38,Food
2026-02-05,Vanilla Latte,VL-100,24,180,86,92,Beverages
2026-02-05,Chocolate Muffin,CM-210,12,72,30,46,Bakery
2026-02-05,Turkey Sandwich,TS-310,9,108,52,32,Food
2026-02-06,Vanilla Latte,VL-100,22,165,78,84,Beverages
2026-02-06,Chocolate Muffin,CM-210,13,78,32,40,Bakery
2026-02-06,Turkey Sandwich,TS-310,10,120,56,26,Food
2026-02-07,Vanilla Latte,VL-100,26,195,88,76,Beverages
2026-02-07,Chocolate Muffin,CM-210,15,90,36,36,Bakery
2026-02-07,Turkey Sandwich,TS-310,13,156,68,20,Food
2026-02-08,Vanilla Latte,VL-100,38,285,120,66,Beverages
2026-02-08,Chocolate Muffin,CM-210,19,114,44,30,Bakery
2026-02-08,Turkey Sandwich,TS-310,17,204,84,16,Food
2026-02-09,Vanilla Latte,VL-100,40,300,124,56,Beverages
2026-02-09,Chocolate Muffin,CM-210,21,126,50,24,Bakery
2026-02-09,Turkey Sandwich,TS-310,18,216,90,12,Food
2026-02-10,Vanilla Latte,VL-100,32,240,104,48,Beverages
2026-02-10,Chocolate Muffin,CM-210,14,84,34,18,Bakery
2026-02-10,Turkey Sandwich,TS-310,12,144,60,8,Food
2026-02-11,Vanilla Latte,VL-100,20,150,70,40,Beverages
2026-02-11,Chocolate Muffin,CM-210,10,60,26,14,Bakery
2026-02-11,Turkey Sandwich,TS-310,8,96,46,6,Food
2026-02-12,Vanilla Latte,VL-100,18,135,64,34,Beverages
2026-02-12,Chocolate Muffin,CM-210,9,54,24,10,Bakery
2026-02-12,Turkey Sandwich,TS-310,7,84,40,4,Food
2026-02-13,Vanilla Latte,VL-100,26,195,86,30,Beverages
2026-02-13,Chocolate Muffin,CM-210,12,72,30,8,Bakery
2026-02-13,Turkey Sandwich,TS-310,9,108,52,2,Food
2026-02-14,Vanilla Latte,VL-100,44,330,138,22,Beverages
2026-02-14,Chocolate Muffin,CM-210,24,144,56,6,Bakery
2026-02-14,Turkey Sandwich,TS-310,20,240,96,1,Food
